date,items,mom,peso
2016-09-01,7707,-0.36,0.1144
2016-09-01,7708,2.09,0.0112
2016-09-01,7709,0.63,0.168
2016-09-01,7710,0.35,0.2164
2016-09-01,7711,0.26,0.1414
2016-09-01,7712,0.1,10.7263
2016-09-01,7713,0.87,6.5345
2016-09-01,7715,0.81,0.0485
2016-09-01,7719,1.19,1.2507
2016-09-01,7720,0.87,4.0457
2016-09-01,7721,-0.68,0.0149
2016-09-01,7724,1.17,0.0828
2016-09-01,7727,0.42,0.6369
2016-09-01,7728,0.81,0.0137
2016-09-01,7730,-0.35,3.0352
2016-09-01,7731,1.42,0.1885
2016-09-01,7732,1.84,0.0113
2016-09-01,7733,0.16,0.1632
2016-09-01,7735,-1.65,0.0451
2016-09-01,7736,0.31,0.0962
2016-09-01,7738,0.79,0.4341
2016-09-01,7747,2.4,0.0037
2016-09-01,7753,-6.53,0.3877
2016-09-01,7756,2.09,0.3446
2016-09-01,7758,-3.32,1.0847
2016-09-01,7760,0.66,0.0719
2016-09-01,7761,0.88,0.0445
2016-09-01,7763,0.32,0.0273
2016-09-01,7766,0.18,4.6634
2016-09-01,7769,0.0,0.0173
2016-09-01,7777,0.63,0.5323
2016-09-01,7778,0.0,0.1365
2016-09-01,7779,0.37,0.0397
2016-09-01,7782,1.35,0.3486
2016-09-01,7783,1.25,0.1319
2016-09-01,7784,0.02,0.0249
2016-09-01,7785,1.6,0.1917
2016-09-01,7786,0.18,3.6996
2016-09-01,7789,0.0,0.0119
2016-09-01,7790,0.63,0.9661
2016-09-01,7791,0.63,0.0993
2016-09-01,7792,0.0,1.2613
2016-09-01,7794,0.03,0.1547
2016-09-01,8873,-4.81,0.0005
2016-09-01,8874,8.42,0.0007
2016-09-01,12222,-4.61,0.4789
2016-09-01,12223,-7.22,0.0137
2016-09-01,12224,-1.08,0.0158
2016-09-01,12294,-0.43,0.062
2016-09-01,12300,1.57,0.0012
2016-09-01,12302,-0.33,0.018
2016-09-01,12304,1.08,0.1081
2016-09-01,12305,0.62,0.0069
2016-09-01,12379,-0.2,0.1501
2016-09-01,12380,2.17,0.0019
2016-09-01,12393,-7.89,1.3165
2016-09-01,12394,1.12,0.228
2016-09-01,12395,-0.04,0.1565
2016-09-01,12396,-3.95,0.0415
2016-09-01,12397,0.98,0.0081
2016-09-01,12398,-0.6,0.1658
2016-09-01,12399,0.58,0.0732
2016-09-01,12400,-0.19,0.1398
2016-09-01,12401,-0.26,0.0113
2016-09-01,12402,1.09,0.0966
2016-09-01,12403,1.9,0.057
2016-09-01,12404,-0.9,0.0067
2016-09-01,12405,1.44,0.0744
2016-09-01,12406,1.33,0.0628
2016-09-01,12407,-2.28,0.0017
2016-09-01,12408,1.02,0.0233
2016-09-01,12409,-0.37,0.0434
2016-09-01,12410,0.0,0.0076
2016-09-01,12411,-0.85,0.1944
2016-09-01,12412,-0.02,0.1061
2016-09-01,12413,0.4,0.1364
2016-09-01,12414,0.91,0.0598
2016-09-01,12416,0.25,0.0974
2016-09-01,12420,0.56,0.0578
2016-09-01,12421,0.69,0.4413
2016-09-01,12422,-1.1,4.1918
2016-09-01,12423,-0.58,0.0464
2016-09-01,12424,0.14,0.22
2016-09-01,12425,0.13,0.1131
2016-09-01,12426,-1.03,0.2524
2016-09-01,12427,0.0,2.9837
2016-09-01,12428,0.0,0.2031
2016-09-01,12429,0.0,0.6927
2016-09-01,12430,0.0,0.2821
2016-09-01,12431,0.68,0.0074
2016-09-01,12432,-1.81,0.0044
2016-09-01,12433,1.09,0.0206
2016-09-01,12434,0.45,0.036
2016-09-01,12435,0.0,0.0561
2016-09-01,12436,0.32,0.0799
2016-09-01,31694,-2.52,0.0003
2016-09-01,101448,6.77,0.004
2016-09-01,101642,0.66,0.0142
2016-09-01,101644,0.38,0.3438
2016-09-01,101699,7.43,0.0008
2016-09-01,107608,0.77,0.0952
2016-09-01,107609,0.34,0.1517
2016-09-01,107611,2.0,0.1581
2016-09-01,107613,2.27,0.0455
2016-09-01,107615,1.61,0.0085
2016-09-01,107616,-0.6,0.0252
2016-09-01,107617,1.25,0.4799
2016-09-01,107618,0.24,0.3773
2016-09-01,107619,1.92,0.5534
2016-09-01,107620,0.02,0.0442
2016-09-01,107621,1.09,0.74
2016-09-01,107622,1.1,0.0056
2016-09-01,107624,-0.11,0.0393
2016-09-01,107625,0.7,0.0041
2016-09-01,107626,-0.36,0.0061
2016-09-01,107627,-3.87,0.0033
2016-09-01,107628,1.27,0.0197
2016-09-01,107630,1.31,0.0168
2016-09-01,107633,0.39,0.3791
2016-09-01,107638,-0.26,0.1604
2016-09-01,107639,-1.08,0.1191
2016-09-01,107640,-0.14,0.0571
2016-09-01,107641,0.87,1.4398
2016-09-01,107642,0.11,0.0471
2016-09-01,107645,1.39,0.0437
2016-09-01,107646,0.23,0.147
2016-09-01,107647,-0.45,0.0656
2016-09-01,107648,-0.41,0.0704
2016-09-01,107649,1.13,0.6078
2016-09-01,107650,0.48,0.2583
2016-09-01,107652,0.65,0.1908
2016-09-01,107653,0.0,0.0319
2016-09-01,107654,-1.5,1.0119
2016-09-01,107656,-1.73,0.0054
2016-09-01,107657,-0.36,0.1087
2016-09-01,107658,0.34,0.3788
2016-09-01,107659,0.71,0.0757
2016-09-01,107661,0.29,0.2023
2016-09-01,107666,1.42,0.2561
2016-09-01,107668,0.0,0.4728
2016-09-01,107670,0.0,0.199
2016-09-01,107671,0.0,0.763
2016-09-01,107672,0.0,0.3566
2016-09-01,107673,0.0,1.4325
2016-09-01,107674,0.0,0.2153
2016-09-01,107676,1.52,0.2208
2016-09-01,107677,-0.11,0.1352
2016-09-01,107678,0.02,0.7988
2016-09-01,107679,0.32,0.1678
2016-09-01,107680,0.5,0.0765
2016-09-01,107681,-0.37,0.2542
2016-09-01,107682,0.13,0.0973
2016-09-01,107688,0.0,0.2315
2016-09-01,109463,0.19,0.1562
2016-09-01,109464,-0.28,0.2667
