date,items,mom,peso
2016-08-01,7451,0.23,1.6429
2016-08-01,7453,-0.61,0.0166
2016-08-01,7454,0.55,2.408
2016-08-01,7455,0.43,0.0464
2016-08-01,7456,1.2,0.0228
2016-08-01,7457,1.25,0.0297
2016-08-01,7459,0.55,0.228
2016-08-01,7461,0.36,0.8902
2016-08-01,7464,0.66,0.059
2016-08-01,7465,0.54,0.1348
2016-08-01,7466,0.3,0.3551
2016-08-01,7467,0.16,0.0525
2016-08-01,7468,1.2,0.0055
2016-08-01,7470,-0.17,0.097
2016-08-01,7471,0.27,0.0467
2016-08-01,7479,-0.2,4.7468
2016-08-01,7480,-0.38,1.2159
2016-08-01,7481,-2.18,0.0076
2016-08-01,7482,-0.4,1.1393
2016-08-01,7483,0.04,0.069
2016-08-01,7484,-0.13,3.5309
2016-08-01,7486,0.36,4.2311
2016-08-01,7487,0.05,2.1673
2016-08-01,7488,0.07,1.3144
2016-08-01,7489,0.03,0.5519
2016-08-01,7490,0.42,0.4528
2016-08-01,7492,0.74,0.1814
2016-08-01,7493,-2.16,0.117
2016-08-01,7495,-0.23,0.5372
2016-08-01,7497,1.38,0.0836
2016-08-01,7498,-0.81,0.0834
2016-08-01,7508,-1.53,0.0229
2016-08-01,7517,0.46,0.3157
2016-08-01,7518,0.34,0.2349
2016-08-01,7520,0.82,0.0809
2016-08-01,7521,0.85,1.7089
2016-08-01,7522,0.54,1.0127
2016-08-01,7523,0.12,0.4612
2016-08-01,7526,0.85,0.2041
2016-08-01,7529,1.38,0.003
2016-08-01,7530,0.82,0.0258
2016-08-01,7531,0.25,0.2094
2016-08-01,7539,0.23,0.0214
2016-08-01,7540,3.32,0.0524
2016-08-01,7541,1.3,0.6962
2016-08-01,7542,0.99,0.1991
2016-08-01,7543,-0.27,0.0737
2016-08-01,7547,2.0,0.3511
2016-08-01,7548,-0.13,0.3549
2016-08-01,7551,-1.71,0.0048
2016-08-01,7555,-0.69,0.1405
2016-08-01,7558,0.15,5.9424
2016-08-01,7559,-0.12,3.805
2016-08-01,7560,0.13,1.4133
2016-08-01,7561,0.1,0.4377
2016-08-01,7562,0.27,0.0613
2016-08-01,7563,-2.51,0.0727
2016-08-01,7564,1.06,0.2099
2016-08-01,7565,1.17,0.0221
2016-08-01,7572,-0.34,1.7268
2016-08-01,7573,-1.12,0.477
2016-08-01,7574,-2.64,0.065
2016-08-01,7575,0.82,0.0216
2016-08-01,7576,-0.28,0.3001
2016-08-01,7577,0.03,0.62
2016-08-01,7579,0.18,0.1579
2016-08-01,7582,1.62,0.0851
2016-08-01,7587,-0.06,0.6649
2016-08-01,7589,1.18,0.123
2016-08-01,7590,-2.91,0.0413
2016-08-01,7591,-1.26,0.071
2016-08-01,7592,0.83,0.1027
2016-08-01,7604,0.58,1.7036
2016-08-01,7606,-0.58,0.1943
2016-08-01,7607,-0.62,0.2962
2016-08-01,7608,2.58,0.0122
2016-08-01,7609,2.4,0.0215
2016-08-01,7610,1.34,0.3485
2016-08-01,7611,-0.84,0.0302
